"","unique_squirrel_id","hectare","shift","date","hectare_squirrel_number","age","primary_fur_color","highlight_fur_color","combination_of_primary_and_highlight_color","location","lat_long","long","lat","activity","reaction","sounds"
"1520","11D-PM-1006-05","11D","2",2018-10-06,5,"1","1","Cinnamon, White","Gray+Cinnamon, White","1","POINT (-73.971730277301 40.7748805439381)",-73.971730277301,40.7748805439381,"2","1","0"
"1521","16F-PM-1013-06","16F","2",2018-10-13,6,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.968021326951 40.7778807692445)",-73.968021326951,40.7778807692445,"3","2","0"
"1522","9E-AM-1008-01","09E","1",2018-10-08,1,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9723922904119 40.7729164833027)",-73.9723922904119,40.7729164833027,"3","3","0"
"1523","39G-PM-1013-03","39G","2",2018-10-13,3,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9538970554532 40.7955196793479)",-73.9538970554532,40.7955196793479,"4","0","0"
"1524","26A-PM-1006-01","26A","2",2018-10-06,1,"2","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9673103881521 40.7874267409618)",-73.9673103881521,40.7874267409618,"3","2","0"
"1525","16A-PM-1019-06","16A","2",2018-10-19,6,"2","1",NA,"Gray+","1","POINT (-73.9725961508316 40.7795720444974)",-73.9725961508316,40.7795720444974,"1","2","0"
"1526","14B-PM-1014-02","14B","2",2018-10-14,2,"1","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9727115915422 40.7782929320632)",-73.9727115915422,40.7782929320632,"5","0","0"
"1527","32C-PM-1013-01","32C","2",2018-10-13,1,"1","1",NA,"Gray+","1","POINT (-73.9620964576469 40.7917332001738)",-73.9620964576469,40.7917332001738,"3","0","0"
"1528","8H-PM-1014-08","08H","2",2018-10-14,8,"1","1",NA,"Gray+","2","POINT (-73.970216605149 40.7702960667277)",-73.970216605149,40.7702960667277,"5","1","0"
"1529","23A-AM-1018-02","23A","1",2018-10-18,2,"2","3",NA,"Black+","1","POINT (-73.9690104245067 40.7853358193723)",-73.9690104245067,40.7853358193723,"2","1","0"
"1530","8I-AM-1006-04","08I","1",2018-10-06,4,"1","1","White","Gray+White","1","POINT (-73.9692401421068 40.7707128895661)",-73.9692401421068,40.7707128895661,"1","1","0"
"1531","19C-PM-1018-06","19C","2",2018-10-18,6,"1","1","Cinnamon","Gray+Cinnamon","2","POINT (-73.9689305978751 40.7818152496266)",-73.9689305978751,40.7818152496266,"1","1","0"
"1532","21H-PM-1018-02","21H","2",2018-10-18,2,"2","1","Cinnamon","Gray+Cinnamon","1","POINT (-73.9630381400083 40.7807571827321)",-73.9630381400083,40.7807571827321,"5","1","0"
"1533","3D-PM-1010-08","03D","2",2018-10-10,8,"1","1","White","Gray+White","1","POINT (-73.9779263114572 40.7682681855369)",-73.9779263114572,40.7682681855369,"1","0","0"
